FIPS,State,County,FOODINSEC_00_02,FOODINSEC_07_09,FOODINSEC_10_12,CH_FOODINSEC_02_12,CH_FOODINSEC_09_12,VLFOODSEC_00_02,VLFOODSEC_07_09,VLFOODSEC_10_12,CH_VLFOODSEC_02_12,CH_VLFOODSEC_09_12,FOODINSEC_CHILD_01_07,FOODINSEC_CHILD_03_11
13001,GA,Appling,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13003,GA,Atkinson,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13005,GA,Bacon,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13007,GA,Baker,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13009,GA,Baldwin,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13011,GA,Banks,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13013,GA,Barrow,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13015,GA,Bartow,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13017,GA,Ben Hill,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13019,GA,Berrien,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13021,GA,Bibb,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13023,GA,Bleckley,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13025,GA,Brantley,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13027,GA,Brooks,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13029,GA,Bryan,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13031,GA,Bulloch,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13033,GA,Burke,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13035,GA,Butts,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13037,GA,Calhoun,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13039,GA,Camden,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13043,GA,Candler,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13045,GA,Carroll,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13047,GA,Catoosa,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13049,GA,Charlton,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13051,GA,Chatham,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13053,GA,Chattahoochee,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13055,GA,Chattooga,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13057,GA,Cherokee,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13059,GA,Clarke,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13061,GA,Clay,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13063,GA,Clayton,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13065,GA,Clinch,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13067,GA,Cobb,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13069,GA,Coffee,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13071,GA,Colquitt,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13073,GA,Columbia,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13075,GA,Cook,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13077,GA,Coweta,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13079,GA,Crawford,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13081,GA,Crisp,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13083,GA,Dade,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13085,GA,Dawson,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13087,GA,Decatur,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13089,GA,DeKalb,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13091,GA,Dodge,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13093,GA,Dooly,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13095,GA,Dougherty,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13097,GA,Douglas,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13099,GA,Early,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13101,GA,Echols,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13103,GA,Effingham,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13105,GA,Elbert,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13107,GA,Emanuel,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13109,GA,Evans,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13111,GA,Fannin,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13113,GA,Fayette,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13115,GA,Floyd,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13117,GA,Forsyth,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13119,GA,Franklin,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13121,GA,Fulton,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13123,GA,Gilmer,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13125,GA,Glascock,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13127,GA,Glynn,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13129,GA,Gordon,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13131,GA,Grady,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13133,GA,Greene,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13135,GA,Gwinnett,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13137,GA,Habersham,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13139,GA,Hall,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13141,GA,Hancock,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13143,GA,Haralson,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13145,GA,Harris,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13147,GA,Hart,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13149,GA,Heard,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13151,GA,Henry,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13153,GA,Houston,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13155,GA,Irwin,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
